sk_cliente,id_cliente,nome_cliente,segmento_cliente,canal_aquisicao,uf_cliente,data_cadastro,faixa_etaria,ativo
1,CLI00001,Otávio Nascimento,PJ - Frota Pequena,Indicação,MG,2021-01-28,36-45,True
2,CLI00002,Henrique Ferreira,PF - Varejo,Recall,SP,2023-04-07,18-25,True
3,CLI00003,Lorena Correia,PJ - Frota Grande,CRM Ativo,GO,2023-01-29,26-35,True
4,CLI00004,Pietra Aparecida,PF - Varejo,Showroom,MG,2022-10-29,26-35,True
5,CLI00005,Ana Lívia Pinto,PF - Varejo,Indicação,SC,2022-07-02,26-35,True
6,CLI00006,Alícia Montenegro,PF - Premium,Digital,MG,2022-09-14,36-45,True
7,CLI00007,Eloá Abreu,PF - Varejo,CRM Ativo,CE,2022-09-21,56+,True
8,CLI00008,Mariane Câmara,PJ - Frota Pequena,Recall,PE,2021-10-06,18-25,True
9,CLI00009,Renan Barros,PF - Varejo,Indicação,RJ,2023-03-06,36-45,True
10,CLI00010,Letícia Gomes,PF - Varejo,Fidelização,RJ,2022-03-13,26-35,True
11,CLI00011,Breno Costela,PF - Premium,Indicação,GO,2021-03-09,18-25,True
12,CLI00012,Francisco da Rocha,PJ - Frota Grande,Showroom,SP,2023-05-25,18-25,True
13,CLI00013,Sr. Luigi Vieira,PJ - Frota Pequena,Showroom,BA,2021-03-24,46-55,True
14,CLI00014,Lucas Gabriel Sousa,PF - Varejo,Digital,SP,2023-04-20,46-55,True
15,CLI00015,Gabriela Aragão,PF - Premium,Digital,SP,2022-01-08,26-35,True
16,CLI00016,Augusto Montenegro,PF - Varejo,Showroom,RS,2021-07-31,56+,True
17,CLI00017,Yuri Casa Grande,PF - Varejo,Indicação,BA,2022-09-05,46-55,True
18,CLI00018,Sr. Anthony Aragão,PF - Premium,Showroom,MG,2022-07-13,36-45,True
19,CLI00019,Dr. Noah Silva,PF - Varejo,Indicação,SP,2022-04-24,18-25,True
20,CLI00020,Dante Novais,PF - Premium,Digital,MG,2022-10-21,56+,True
21,CLI00021,Dr. Théo Marques,PF - Varejo,Digital,CE,2021-03-28,26-35,True
22,CLI00022,Dr. Yan Santos,PF - Varejo,Digital,SP,2021-12-01,56+,True
23,CLI00023,Diego Fonseca,PJ - Frota Pequena,Recall,DF,2021-04-28,46-55,True
24,CLI00024,Arthur Gabriel Santos,PF - Varejo,Fidelização,MG,2023-06-10,46-55,True
25,CLI00025,João da Rosa,PJ - Frota Pequena,Digital,SP,2021-04-29,26-35,True
26,CLI00026,Olivia Sales,PF - Varejo,Fidelização,DF,2021-01-31,18-25,True
27,CLI00027,Ana Abreu,PF - Premium,Digital,SP,2022-03-30,26-35,True
28,CLI00028,Valentim Machado,PF - Varejo,CRM Ativo,RJ,2022-02-26,36-45,True
29,CLI00029,André Ferreira,PJ - Frota Pequena,Digital,ES,2021-11-03,56+,True
30,CLI00030,Nathan Novais,PF - Varejo,Digital,RJ,2022-10-14,26-35,True
31,CLI00031,Thomas Vieira,PF - Varejo,Recall,MG,2022-06-30,18-25,True
32,CLI00032,Enzo da Cunha,PF - Varejo,Fidelização,SP,2023-01-18,26-35,True
33,CLI00033,Henry Gabriel Rezende,PF - Varejo,CRM Ativo,SP,2022-09-16,36-45,True
34,CLI00034,Kevin da Cunha,PJ - Frota Pequena,Indicação,BA,2021-06-09,26-35,True
35,CLI00035,Rael Almeida,PF - Premium,Recall,MG,2021-09-20,18-25,True
36,CLI00036,Anna Liz Cassiano,PJ - Frota Pequena,Digital,SP,2022-09-21,18-25,True
37,CLI00037,Marcela Viana,PF - Premium,Showroom,SP,2022-06-09,36-45,True
38,CLI00038,Dr. Benjamin Rios,PF - Varejo,Recall,SP,2022-01-29,46-55,True
39,CLI00039,Lívia Nascimento,PF - Varejo,CRM Ativo,SP,2021-02-26,26-35,True
40,CLI00040,Carlos Eduardo Nogueira,PF - Varejo,CRM Ativo,DF,2021-09-23,26-35,True
41,CLI00041,Larissa Duarte,PF - Premium,Fidelização,PR,2021-10-30,36-45,True
42,CLI00042,Brayan Fernandes,PF - Varejo,Indicação,SC,2023-06-04,56+,True
43,CLI00043,Caroline Silveira,PF - Premium,Digital,RJ,2021-08-18,46-55,True
44,CLI00044,Benjamim Fonseca,PJ - Frota Pequena,Fidelização,CE,2022-12-14,36-45,True
45,CLI00045,Maria Alice Fogaça,PF - Varejo,Indicação,SC,2022-01-20,36-45,True
46,CLI00046,Nicolas Andrade,PF - Varejo,Indicação,RS,2022-03-06,18-25,True
47,CLI00047,Henry Machado,PF - Varejo,Digital,BA,2021-11-29,36-45,True
48,CLI00048,Dr. José Miguel Araújo,PF - Varejo,Showroom,SP,2022-10-20,26-35,True
49,CLI00049,Melissa da Luz,PJ - Frota Pequena,Recall,DF,2023-04-27,36-45,True
50,CLI00050,Bianca da Rocha,PF - Premium,Indicação,RJ,2022-05-28,26-35,True
51,CLI00051,Pietra da Cunha,PF - Varejo,CRM Ativo,RJ,2023-05-20,56+,True
52,CLI00052,Bruno Novais,PF - Premium,Showroom,MG,2022-09-24,36-45,True
53,CLI00053,Júlia Andrade,PF - Varejo,Indicação,BA,2021-10-19,26-35,True
54,CLI00054,Laís Fernandes,PF - Varejo,Recall,SP,2021-09-15,56+,True
55,CLI00055,Ágatha Oliveira,PJ - Frota Grande,Fidelização,RJ,2022-10-31,18-25,True
56,CLI00056,Bárbara Macedo,PJ - Frota Grande,Digital,ES,2022-01-02,56+,True
57,CLI00057,Bianca Ribeiro,PJ - Frota Pequena,Digital,RJ,2021-09-26,46-55,True
58,CLI00058,Eloá Garcia,PF - Varejo,Indicação,PR,2021-10-25,56+,True
59,CLI00059,Bruno Sales,PF - Premium,Recall,SP,2023-06-09,36-45,True
60,CLI00060,Eloá Farias,PJ - Frota Grande,Indicação,MG,2021-04-11,46-55,True
61,CLI00061,Gabrielly Fogaça,PJ - Frota Pequena,Showroom,BA,2021-10-08,26-35,True
62,CLI00062,Léo Pinto,PF - Varejo,Fidelização,GO,2022-01-17,46-55,True
63,CLI00063,Dra. Anna Liz Mendonça,PJ - Frota Grande,Digital,MG,2023-05-03,46-55,True
64,CLI00064,Gabriela Guerra,PF - Premium,Showroom,CE,2021-06-26,56+,True
65,CLI00065,Lara Vargas,PF - Varejo,Digital,SP,2022-04-24,36-45,True
66,CLI00066,Cecília da Luz,PF - Varejo,Digital,PR,2022-10-12,26-35,True
67,CLI00067,Sr. Luiz Henrique Vasconcelos,PF - Premium,Indicação,SP,2022-05-14,46-55,True
68,CLI00068,Srta. Heloisa da Conceição,PF - Varejo,Indicação,MG,2023-05-13,46-55,True
69,CLI00069,Kaique Caldeira,PF - Varejo,Recall,SP,2022-10-07,18-25,True
70,CLI00070,Beatriz Viana,PF - Premium,Digital,RS,2023-06-09,46-55,True
71,CLI00071,Dra. Pietra Rocha,PJ - Frota Grande,Digital,RJ,2023-05-01,46-55,True
72,CLI00072,Mariana Peixoto,PF - Varejo,Digital,SP,2021-10-19,18-25,True
73,CLI00073,Sr. Leonardo Vieira,PJ - Frota Grande,Fidelização,BA,2022-11-28,36-45,True
74,CLI00074,Maria Isis da Conceição,PF - Varejo,Indicação,SP,2021-10-10,36-45,True
75,CLI00075,Yasmin Peixoto,PJ - Frota Pequena,Showroom,SP,2023-03-04,56+,True
76,CLI00076,Yago Cardoso,PJ - Frota Pequena,Recall,PR,2021-07-21,36-45,True
77,CLI00077,Antonella Albuquerque,PF - Varejo,Digital,CE,2021-06-26,18-25,True
78,CLI00078,Sabrina Pacheco,PF - Varejo,Indicação,SP,2022-02-06,46-55,True
79,CLI00079,Srta. Clara Jesus,PJ - Frota Pequena,Digital,SP,2021-02-06,36-45,True
80,CLI00080,Srta. Maria Julia das Neves,PF - Varejo,Indicação,MG,2023-02-03,36-45,True
81,CLI00081,Ana Júlia Pires,PF - Premium,Recall,SP,2022-09-23,26-35,True
82,CLI00082,Pedro Miguel Azevedo,PF - Premium,Digital,DF,2021-05-10,36-45,True
83,CLI00083,Paulo Montenegro,PF - Varejo,Indicação,RS,2022-09-20,18-25,True
84,CLI00084,Lucas Melo,PF - Premium,CRM Ativo,PR,2021-09-30,36-45,True
85,CLI00085,Nicolas Nogueira,PF - Premium,Digital,PR,2022-08-12,56+,True
86,CLI00086,Lunna Melo,PF - Varejo,CRM Ativo,SC,2023-02-06,26-35,True
87,CLI00087,Heitor Oliveira,PF - Varejo,Indicação,SP,2021-07-10,18-25,True
88,CLI00088,Dr. Alexandre da Luz,PF - Premium,Indicação,RJ,2022-01-16,46-55,True
89,CLI00089,Anthony Pires,PF - Varejo,Fidelização,RJ,2021-10-12,26-35,True
90,CLI00090,Letícia Fogaça,PF - Premium,Recall,DF,2021-12-29,46-55,True
91,CLI00091,Maria Helena Leão,PJ - Frota Pequena,Digital,SP,2022-09-10,46-55,True
92,CLI00092,João Gabriel Camargo,PJ - Frota Pequena,CRM Ativo,RJ,2023-03-13,26-35,True
93,CLI00093,Alice Costa,PJ - Frota Pequena,Digital,PE,2023-02-23,46-55,True
94,CLI00094,Clarice Lopes,PF - Varejo,Showroom,CE,2022-01-13,26-35,True
95,CLI00095,Lunna Novaes,PJ - Frota Grande,Digital,GO,2023-04-02,26-35,True
96,CLI00096,Rafaela Porto,PJ - Frota Pequena,Digital,SP,2022-06-11,56+,True
97,CLI00097,Yasmin Mendonça,PF - Varejo,Digital,PE,2022-07-30,56+,True
98,CLI00098,Ana Vitória Azevedo,PF - Premium,Recall,MG,2021-11-06,26-35,True
99,CLI00099,Henry Caldeira,PF - Varejo,Showroom,CE,2023-02-08,46-55,True
100,CLI00100,Srta. Alana Marques,PJ - Frota Pequena,Indicação,MG,2022-03-16,18-25,True
101,CLI00101,Jade Camargo,PF - Premium,Digital,SC,2021-11-06,26-35,True
102,CLI00102,Eloá Barbosa,PF - Varejo,Indicação,CE,2021-11-02,36-45,True
103,CLI00103,Fernanda Cardoso,PF - Varejo,Indicação,BA,2022-09-14,18-25,True
104,CLI00104,Kevin Freitas,PJ - Frota Pequena,Showroom,SP,2022-06-13,18-25,True
105,CLI00105,Dr. Anthony Gabriel Machado,PJ - Frota Grande,Digital,RJ,2023-04-08,46-55,True
